,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
108,배재아지트,호프/통닭,20150817,영업/정상,,대전광역시 서구 도마동 49-7번지,62.39
109,뭔닭인지알지,호프/통닭,20151224,영업/정상,,대전광역시 서구 변동 253-64번지,18.1
110,미선이네맛집,호프/통닭,20180328,영업/정상,,대전광역시 서구 변동 47-25,44.39
111,새벽옛날통닭,호프/통닭,20160913,영업/정상,,대전광역시 서구 변동 31-57번지,31.63
112,좋은사람들,호프/통닭,20180524,영업/정상,,대전광역시 서구 도마동 127-16번지,20.54
113,한판삼겹살(도마점),호프/통닭,20180403,영업/정상,,대전광역시 서구 도마동 46-5번지,32.2
114,신통치킨,호프/통닭,20160414,영업/정상,,대전광역시 서구 변동 47-1번지,47.5
115,에스바(S-Bar),호프/통닭,20180608,영업/정상,,대전광역시 서구 도마동 108-12번지,22.08
116,정류장호프,호프/통닭,20170615,폐업,20180228,대전광역시 서구 변동 7-39번지,36.9
117,춤추는두마리치킨,통닭(치킨),20090316,폐업,20101101,대전광역시 서구 도마동 119-8번지 (101호),25.34
118,델리호프식당,호프/통닭,20091022,폐업,20190318,대전광역시 서구 도마동 74-9번지 1층,27.89
119,콜라생맥주전문점,호프/통닭,19961023,폐업,20080721,대전광역시 서구 도마동 358-1번지,100.3
120,아우디,호프/통닭,19961023,폐업,20170328,대전광역시 서구 도마동 129-33번지,161.72
121,주왕산얼음골막걸리,호프/통닭,19961101,폐업,20101223,대전광역시 서구 도마동 109-15번지,164.92
122,엘에이,호프/통닭,20001128,폐업,20120309,대전광역시 서구 변동 61-7번지,49.99
123,행운꼬치방,호프/통닭,19961108,폐업,20021101,대전광역시 서구 도마동 137-10번지,21.2
124,예스타임식당,호프/통닭,20000825,폐업,20011015,대전광역시 서구 도마동 157-19번지,30.56
125,맥주창고술통,호프/통닭,20001201,폐업,20190730,대전광역시 서구 도마동 110-12번지,109.36
126,로데오호프식당,호프/통닭,20000828,폐업,20020116,대전광역시 서구 도마동 120-6번지,325.29
127,강정이기가막혀 도마변동점,통닭(치킨),20100419,폐업,20170328,대전광역시 서구 도마동 17-38번지 (1층),33.15
128,자유공간식당,호프/통닭,19961126,폐업,20170515,대전광역시 서구 변동 16-1번지,16.12
129,해남본가할매순대국,호프/통닭,20001010,폐업,20180516,대전광역시 서구 도마동 174-1번지 1층,38.23
130,브라보팡팡치킨,통닭(치킨),20080716,폐업,20100122,대전광역시 서구 도마동 328-26번지 (1층),55.22
131,웰빙보리밥,통닭(치킨),20001213,폐업,20130318,대전광역시 서구 도마동 86-101번지,33.41
132,만남의광장,호프/통닭,20100528,폐업,20120203,대전광역시 서구 변동 253-29번지 (1층),28.98
133,노블레스,호프/통닭,20100601,폐업,20130610,대전광역시 서구 도마동 209-5번지 (1층),100.98
134,오비라운지,호프/통닭,20001027,폐업,20141209,대전광역시 서구 변동 3-13번지 2층,24.65
135,비어메이르,호프/통닭,20001031,폐업,20091104,대전광역시 서구 도마동 146-43번지,31.37
136,수라수라,호프/통닭,20080805,폐업,20150924,대전광역시 서구 도마동 29-33번지 (1층),23.73
137,오비호프타운,호프/통닭,20001221,폐업,20170901,대전광역시 서구 도마동 120-6번지 (3층),267.95
138,깻잎두마리치킨,호프/통닭,20170404,폐업,20191227,대전광역시 서구 도마동 335-36번지,27.66
139,친구처럼,호프/통닭,20100511,폐업,20160325,대전광역시 서구 도마동 25-2번지 지하1층,100.19
140,연탄집,호프/통닭,20100512,폐업,20190404,대전광역시 서구 변동 21-27번지 1층,46.71
141,설레임,호프/통닭,20010115,폐업,20110504,대전광역시 서구 변동 27-7번지 (1층),25.66
142,맥주창고,호프/통닭,20010117,폐업,20170321,대전광역시 서구 도마동 47-6번지,62.46
143,타임식당,호프/통닭,20001109,폐업,20170328,대전광역시 서구 도마동 144-11번지 (2층),91.14
144,창식이돈까스치킨,호프/통닭,20080826,폐업,20181022,대전광역시 서구 변동 30-14번지 (1층),54.6
145,파닭에파무쳐,호프/통닭,20090105,폐업,20120919,대전광역시 서구 도마동 46-5번지 (1층),25.56
146,조은친구들,호프/통닭,20010207,폐업,20200831,대전광역시 서구 도마동 128-89 2층,93.26
147,말뚝박기,호프/통닭,20001118,폐업,20090212,대전광역시 서구 도마동 50-15번지,177.0
148,바삭치킨,통닭(치킨),20090810,폐업,20101015,대전광역시 서구 도마동 37-18번지 (1층),16.77
149,진바우쎄븐1호점,호프/통닭,20090427,폐업,20101109,대전광역시 서구 도마동 174-1번지 지하1층,56.08
150,멕시칸치킨내동점,통닭(치킨),20090112,폐업,20090304,대전광역시 서구 변동 16-1번지 (1층),30.0
151,적자인생,호프/통닭,20010221,폐업,20170330,대전광역시 서구 도마동 60-14번지 1층,137.93
152,안주나라,호프/통닭,19961014,폐업,20061020,대전광역시 서구 도마동 23-33번지,92.99
153,맘스터치치킨,통닭(치킨),20090812,폐업,20101025,대전광역시 서구 도마동 110-12번지 (1층),27.95
154,미니바,호프/통닭,20080610,폐업,20170927,대전광역시 서구 도마동 109-6번지,41.4
155,을파소,호프/통닭,20091211,폐업,20101216,대전광역시 서구 도마동 209-4번지,105.63
156,한뚝배기,호프/통닭,20080924,폐업,20151204,대전광역시 서구 도마동 84-1번지 (1층),28.05
157,지지미,호프/통닭,20080929,폐업,20120608,대전광역시 서구 도마동 109-6번지 1층,41.4
158,보스카스라운지,호프/통닭,20080530,폐업,20100317,대전광역시 서구 도마동 106-23번지 4층,180.77
159,배재주박사,호프/통닭,20080305,폐업,20151020,대전광역시 서구 도마동 49-11번지 (2층),108.25
160,팜파라스치킨,통닭(치킨),20080307,폐업,20080818,대전광역시 서구 변동 57-3번지 (1층),36.0
161,야화,호프/통닭,20080307,폐업,20131031,대전광역시 서구 변동 49-10번지 (1층),49.38
162,믹스(1),호프/통닭,20091127,폐업,20111010,대전광역시 서구 도마동 328-25번지 (지하1층),115.49
163,따다,호프/통닭,20090227,폐업,20170330,대전광역시 서구 도마동 29-32번지,41.92
164,복희네실내마차,호프/통닭,20081007,폐업,20181228,대전광역시 서구 도마동 127-36번지 (1층),29.04
165,하얼빈 수제 물만두,호프/통닭,20141231,폐업,20170818,대전광역시 서구 도마동 110-12번지 1층,39.12
166,신통치킨 (도마점),통닭(치킨),20150407,폐업,20180410,대전광역시 서구 도마동 50-15번지,30.6
167,투앤원치킨,통닭(치킨),20100114,폐업,20141020,대전광역시 서구 도마동 114-10번지 1층,34.67
168,느낌,호프/통닭,20090311,폐업,20151215,대전광역시 서구 도마동 127-1번지 (1층),27.01
169,탄산보리찻집,호프/통닭,20130402,폐업,20190711,대전광역시 서구 도마동 49-13번지 1층,19.31
170,거농치킨,통닭(치킨),20090717,폐업,20100312,대전광역시 서구 도마동 14-4번지 (1층),16.59
171,아씨호프,호프/통닭,20130624,폐업,20170809,대전광역시 서구 도마동 74-7번지 1층,33.86
172,24대포,호프/통닭,20130418,폐업,20130708,대전광역시 서구 도마동 66-35번지 1층,24.89
173,목화,호프/통닭,20130805,폐업,20140226,대전광역시 서구 도마동 121-20번지 1층,26.49
174,봉구비어배재대점,호프/통닭,20131216,폐업,20191008,대전광역시 서구 도마동 50-28번지 1층,33.15
175,페리카나,통닭(치킨),20140526,폐업,20160714,대전광역시 서구 도마동 109-13번지,34.12
176,치킨대통령,호프/통닭,20131212,폐업,20180628,대전광역시 서구 변동 34-19번지 1층,43.45
177,강호동치킨678,통닭(치킨),20131017,폐업,20191220,대전광역시 서구 변동 22-34번지,33.29
178,79치킨,통닭(치킨),20140128,폐업,20160115,대전광역시 서구 도마동 120-20번지 1층 1호,22.45
179,두배로치킨2호점,통닭(치킨),20140226,폐업,20160802,대전광역시 서구 도마동 132-16번지 1층,0.0
180,티바두마리치킨,통닭(치킨),20130911,폐업,20170816,대전광역시 서구 변동 3-1번지 1층,28.76
181,새벽옛날통닭,호프/통닭,20130912,폐업,20190711,대전광역시 서구 도마동 35-7번지,26.45
182,황금조각치킨,호프/통닭,20140228,폐업,20180814,대전광역시 서구 도마동 34-26번지 1층,19.2
183,오나,호프/통닭,20150203,폐업,20190529,대전광역시 서구 변동 33-40번지,14.9
184,국시전포차,호프/통닭,20140620,폐업,20170814,대전광역시 서구 변동 56-6번지 1층,19.47
