,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모,장사일
930,20020321,폐업,20170330,대전광역시 서구 도마동 93-9번지,29.83,20170330
931,20020409,폐업,20190415,대전광역시 서구 변동 73-14번지,31.04,20190415
932,20020409,폐업,20170328,대전광역시 서구 도마동 100-19번지,95.06,20170328
933,20121126,폐업,20150428,대전광역시 서구 도마동 188-15번지,34.15,20150428
934,20020201,폐업,20170614,대전광역시 서구 도마동 188-6번지,138.42,20170614
935,20020304,폐업,20170330,대전광역시 서구 도마동 349-8번지 지하1층,56.37,20170330
936,20020308,폐업,20170330,대전광역시 서구 도마동 50-15번지,59.0,20170330
937,20020309,폐업,20181010,대전광역시 서구 도마동 142-51번지,35.87,20181010
938,20190618,폐업,20200116,대전광역시 서구 변동 4-15번지,22.93,20200116
939,19970716,폐업,20180503,대전광역시 서구 변동 62-47번지,109.0,20180503
940,20020926,폐업,20190819,대전광역시 서구 도마동 565-57번지,157.17,20190819
941,19990628,폐업,20170209,대전광역시 서구 도마동 122-1번지 1층,34.32,20170209
942,20030215,폐업,20181005,대전광역시 서구 변동 7-20번지,54.03,20181005
943,19971216,폐업,20180703,대전광역시 서구 도마동 25-3번지 지하1층,26.1,20180703
944,19990807,폐업,20190820,대전광역시 서구 도마동 180-12번지,44.06,20190820
945,19980311,폐업,20180917,대전광역시 서구 변동 5-5번지,119.27,20180917
946,19990821,폐업,20181022,대전광역시 서구 변동 4-36번지,31.3,20181022
947,19980130,폐업,20191218,대전광역시 서구 도마동 101-13번지 15통1반,16.87,20191218
948,20021211,폐업,20170328,대전광역시 서구 도마동 110-11번지,69.11,20170328
949,19990826,폐업,20170330,대전광역시 서구 도마동 50-7번지,217.45,20170330
950,20021226,폐업,20170714,대전광역시 서구 도마동 179-73번지,48.6,20170714
951,20030215,폐업,20170125,대전광역시 서구 변동 8-9번지,51.6,20170125
952,20021214,폐업,20181212,대전광역시 서구 도마동 176-9번지 (1층),83.62,20181212
953,19980715,폐업,20170328,대전광역시 서구 도마동 108-18번지,47.58,20170328
954,20021118,폐업,20170328,대전광역시 서구 도마동 17-37번지,16.43,20170328
955,19980711,폐업,20180830,대전광역시 서구 도마동 110-10번지,118.54,20180830
956,20021230,폐업,20170328,대전광역시 서구 도마동 109-13번지 2층,71.61,20170328
957,19970710,폐업,20180703,대전광역시 서구 도마동 175-17번지 2층,56.6,20180703
958,20030114,폐업,20170726,대전광역시 서구 도마동 119-10번지 1층,40.3,20170726
