날짜,지점,강수량(mm)
2018-09-08,133,
2018-09-09,133,
2018-09-10,133,
2018-09-11,133,
2018-09-12,133,
2018-09-13,133,0.1
2018-09-14,133,6.4
2018-09-15,133,0.2
2018-09-16,133,
2018-09-17,133,
2018-09-18,133,
2018-09-19,133,
2018-09-20,133,0.2
2018-09-21,133,32.9
2018-09-22,133,
2018-09-23,133,
2018-09-24,133,
2018-09-25,133,
2018-09-26,133,
2018-09-27,133,
2018-09-28,133,0
2018-09-29,133,
2018-09-30,133,
2018-10-01,133,1.7
2018-10-02,133,
2018-10-03,133,
2018-10-04,133,
2018-10-05,133,60
2018-10-06,133,35.5
2018-10-07,133,
2018-10-08,133,
2018-10-09,133,
2018-10-10,133,0
2018-10-11,133,
2018-10-12,133,
2018-10-13,133,
2018-10-14,133,
2018-10-15,133,
2018-10-16,133,
2018-10-17,133,
2018-10-18,133,1
2018-10-19,133,
2018-10-20,133,
2018-10-21,133,
2018-10-22,133,
2018-10-23,133,0.4
2018-10-24,133,
2018-10-25,133,
2018-10-26,133,21.7
2018-10-27,133,0.2
2018-10-28,133,13.2
2018-10-29,133,0.2
2018-10-30,133,
2018-10-31,133,0
2018-11-01,133,
2018-11-02,133,
2018-11-03,133,
2018-11-04,133,
2018-11-05,133,
2018-11-06,133,
2018-11-07,133,1.2
2018-11-08,133,37.1
2018-11-09,133,1
2018-11-10,133,
2018-11-11,133,0
2018-11-12,133,
2018-11-13,133,
2018-11-14,133,
2018-11-15,133,
2018-11-16,133,
2018-11-17,133,
2018-11-18,133,
2018-11-19,133,
2018-11-20,133,
2018-11-21,133,0.4
2018-11-22,133,
2018-11-23,133,
2018-11-24,133,10.1
2018-11-25,133,
2018-11-26,133,
2018-11-27,133,
2018-11-28,133,
2018-11-29,133,
2018-11-30,133,
2018-12-01,133,
2018-12-02,133,
2018-12-03,133,10.6
2018-12-04,133,16.8
2018-12-05,133,
2018-12-06,133,1.3
2018-12-07,133,0
2018-12-08,133,
2018-12-09,133,
2018-12-10,133,
2018-12-11,133,3
2018-12-12,133,
2018-12-13,133,0.1
2018-12-14,133,
2018-12-15,133,
2018-12-16,133,0
2018-12-17,133,0.1
2018-12-18,133,
2018-12-19,133,1.8
2018-12-20,133,
2018-12-21,133,
2018-12-22,133,
2018-12-23,133,0
2018-12-24,133,
2018-12-25,133,
2018-12-26,133,0
2018-12-27,133,
2018-12-28,133,0
2018-12-29,133,0
2018-12-30,133,0
2018-12-31,133,
2019-01-01,133,0.1
2019-01-02,133,
2019-01-03,133,
2019-01-04,133,
2019-01-05,133,
2019-01-06,133,
2019-01-07,133,
2019-01-08,133,
2019-01-09,133,
2019-01-10,133,
2019-01-11,133,
2019-01-12,133,0.5
2019-01-13,133,
2019-01-14,133,
2019-01-15,133,0.3
2019-01-16,133,
2019-01-17,133,0
2019-01-18,133,
2019-01-19,133,
2019-01-20,133,0
2019-01-21,133,
2019-01-22,133,
2019-01-23,133,
2019-01-24,133,
2019-01-25,133,
2019-01-26,133,
2019-01-27,133,
2019-01-28,133,0.8
2019-01-29,133,
2019-01-30,133,
2019-01-31,133,0
2019-02-01,133,
2019-02-02,133,0
2019-02-03,133,27.1
2019-02-04,133,
2019-02-05,133,
2019-02-06,133,
2019-02-07,133,0
2019-02-08,133,
2019-02-09,133,
2019-02-10,133,
2019-02-11,133,
2019-02-12,133,
2019-02-13,133,
2019-02-14,133,
2019-02-15,133,0
2019-02-16,133,0.1
2019-02-17,133,
2019-02-18,133,0.1
2019-02-19,133,18.8
2019-02-20,133,0
2019-02-21,133,
2019-02-22,133,
2019-02-23,133,
2019-02-24,133,
2019-02-25,133,
2019-02-26,133,
2019-02-27,133,0.2
2019-02-28,133,
2019-03-01,133,
2019-03-02,133,
2019-03-03,133,
2019-03-04,133,
2019-03-05,133,
2019-03-06,133,
2019-03-07,133,
2019-03-08,133,
2019-03-09,133,
2019-03-10,133,0.1
2019-03-11,133,0.8
2019-03-12,133,0.5
2019-03-13,133,
2019-03-14,133,
2019-03-15,133,1.1
2019-03-16,133,
2019-03-17,133,
2019-03-18,133,
2019-03-19,133,
2019-03-20,133,17.7
2019-03-21,133,2.6
2019-03-22,133,
2019-03-23,133,6.2
2019-03-24,133,
2019-03-25,133,
2019-03-26,133,
2019-03-27,133,
2019-03-28,133,
2019-03-29,133,
2019-03-30,133,4.7
2019-03-31,133,0
2019-04-01,133,0
2019-04-02,133,
2019-04-03,133,
2019-04-04,133,
2019-04-05,133,
2019-04-06,133,
2019-04-07,133,0.8
2019-04-08,133,
2019-04-09,133,31.3
2019-04-10,133,4.9
2019-04-11,133,
2019-04-12,133,
2019-04-13,133,
