날짜,요일,객수
2016-12-22,목,41
2016-12-23,금,30
2016-12-24,토,55
2016-12-25,일,41
2016-12-26,월,37
2016-12-27,화,40
2016-12-28,수,28
2016-12-29,목,46
2016-12-30,금,31
2016-12-31,토,39
2017-01-01,일,37
2017-01-02,월,23
2017-01-03,화,29
2017-01-04,수,30
2017-01-05,목,21
2017-01-06,금,28
2017-01-07,토,36
2017-01-08,일,41
2017-01-10,화,47
2017-01-11,수,25
2017-01-12,목,28
2017-01-13,금,32
2017-01-16,월,39
2017-01-17,화,35
2017-01-18,수,14
2017-01-19,목,20
2017-01-20,금,36
2017-01-21,토,23
2017-01-22,일,35
2017-01-23,월,30
2017-01-24,화,37
2017-01-25,수,25
2017-01-26,목,35
2017-01-27,금,43
2017-01-28,토,41
2017-01-29,일,48
2017-01-30,월,32
2017-01-31,화,38
2017-02-01,수,19
2017-02-02,목,28
2017-02-03,금,47
2017-02-04,토,40
2017-02-05,일,46
2017-02-06,월,40
2017-02-07,화,48
2017-02-08,수,31
2017-02-09,목,62
2017-02-10,금,39
2017-02-11,토,61
2017-02-12,일,50
2017-02-13,월,40
2017-02-14,화,56
2017-02-15,수,28
2017-02-16,목,48
2017-02-17,금,49
2017-02-18,토,45
2017-02-19,일,37
2017-02-20,월,48
2017-02-21,화,56
2017-02-22,수,50
2017-02-23,목,64
2017-02-24,금,44
2017-02-25,토,45
2017-02-26,일,38
2017-02-27,월,47
2017-02-28,화,50
2017-03-01,수,78
2017-03-02,목,32
2017-03-03,금,33
2017-03-04,토,36
2017-03-05,일,39
2017-03-06,월,39
2017-03-07,화,51
2017-03-08,수,44
2017-03-09,목,30
2017-03-10,금,50
2017-03-11,토,62
2017-03-12,일,30
2017-03-13,월,28
2017-03-14,화,58
2017-03-15,수,56
2017-03-16,목,29
2017-03-17,금,28
2017-03-18,토,40
2017-03-19,일,38
2017-03-20,월,28
2017-03-21,화,43
2017-03-22,수,48
2017-03-23,목,23
2017-03-24,금,32
2017-03-25,토,55
2017-03-26,일,37
2017-03-27,월,3
2017-03-28,화,23
2017-03-29,수,29
2017-03-30,목,38
2017-03-31,금,39
2017-04-01,토,36
2017-04-02,일,31
2017-04-04,화,47
2017-04-05,수,37
2017-04-06,목,17
2017-04-07,금,20
2017-04-08,토,35
2017-04-09,일,39
2017-04-10,월,24
2017-04-11,화,37
2017-04-12,수,25
2017-04-13,목,23
2017-04-14,금,36
2017-04-15,토,39
2017-04-16,일,38
2017-04-17,월,23
2017-04-18,화,41
2017-04-19,수,26
2017-04-20,목,30
2017-04-21,금,38
2017-04-22,토,64
2017-04-23,일,31
2017-04-24,월,30
2017-04-25,화,46
2017-04-26,수,21
2017-04-27,목,30
2017-04-28,금,49
2017-04-29,토,46
2017-04-30,일,44
2017-05-01,월,23
2017-05-02,화,45
2017-05-03,수,34
2017-05-04,목,31
2017-05-05,금,36
2017-05-06,토,34
2017-05-07,일,38
2017-05-08,월,31
2017-05-09,화,81
2017-05-10,수,24
2017-05-11,목,26
2017-05-12,금,32
2017-05-13,토,55
2017-05-14,일,47
2017-05-15,월,35
2017-05-16,화,67
2017-05-17,수,25
2017-05-18,목,25
2017-05-19,금,24
2017-05-20,토,49
2017-05-21,일,38
2017-05-22,월,28
2017-05-23,화,46
2017-05-24,수,21
2017-05-25,목,29
2017-05-26,금,43
2017-05-27,토,51
2017-05-28,일,56
2017-05-29,월,31
2017-05-30,화,60
2017-05-31,수,31
2017-06-01,목,40
2017-06-02,금,32
2017-06-03,토,52
2017-06-04,일,68
2017-06-05,월,3
2017-06-06,화,91
2017-06-07,수,35
2017-06-08,목,38
2017-06-09,금,26
2017-06-10,토,45
2017-06-11,일,51
2017-06-12,월,1
2017-06-13,화,38
2017-06-14,수,25
2017-06-15,목,30
2017-06-16,금,42
2017-06-17,토,50
2017-06-18,일,60
2017-06-19,월,40
2017-06-20,화,53
2017-06-22,목,29
2017-06-23,금,27
2017-06-24,토,47
2017-06-25,일,49
2017-06-27,화,48
2017-06-28,수,22
2017-06-29,목,27
2017-06-30,금,49
2017-07-01,토,48
2017-07-02,일,42
2017-07-04,화,61
2017-07-05,수,21
2017-07-06,목,24
2017-07-07,금,30
2017-07-08,토,35
2017-07-09,일,34
2017-07-11,화,35
2017-07-12,수,41
2017-07-13,목,21
2017-07-14,금,38
2017-07-15,토,35
2017-07-16,일,33
2017-07-17,월,49
2017-07-18,화,39
2017-07-20,목,36
2017-07-21,금,42
2017-07-22,토,50
2017-07-23,일,47
2017-07-24,월,27
2017-07-25,화,36
2017-07-26,수,31
2017-07-27,목,25
