,날짜,구글검색
175,2016-04-03,25.0
176,2016-04-04,24.0
177,2016-04-05,23.0
178,2016-04-06,22.0
179,2016-04-07,21.0
180,2016-04-08,20.0
181,2016-04-09,19.0
182,2016-04-10,18.0
183,2016-04-11,23.0
184,2016-04-12,28.0
185,2016-04-13,33.0
186,2016-04-14,38.0
187,2016-04-15,43.0
188,2016-04-16,48.0
189,2016-04-17,53.0
190,2016-04-18,50.714285714285715
191,2016-04-19,48.42857142857143
192,2016-04-20,46.142857142857146
193,2016-04-21,43.85714285714286
194,2016-04-22,41.57142857142857
195,2016-04-23,39.285714285714285
196,2016-04-24,37.0
197,2016-04-25,36.57142857142857
198,2016-04-26,36.142857142857146
199,2016-04-27,35.714285714285715
200,2016-04-28,35.285714285714285
201,2016-04-29,34.857142857142854
