날짜,네이버 검색량
2017-01-30,16.00475
2017-01-31,11.41136
2017-02-01,10.00132
2017-02-02,10.5792
2017-02-03,11.96173
2017-02-04,13.48406
2017-02-05,13.08999
2017-02-06,10.20055
2017-02-07,10.13781
2017-02-08,9.95508
2017-02-09,13.20557
2017-02-10,15.86936
2017-02-11,19.65811
2017-02-12,19.14846
2017-02-13,15.71085
2017-02-14,14.34814
2017-02-15,13.3993
2017-02-16,13.96838
2017-02-17,16.6729
2017-02-18,17.80556
2017-02-19,17.55129
2017-02-20,16.11042
2017-02-21,14.74771
2017-02-22,15.341
2017-02-23,14.16651
2017-02-24,16.3691
2017-02-25,17.7098
2017-02-26,15.66352
2017-02-27,12.47908
2017-02-28,13.92105
2017-03-01,14.35144
2017-03-02,8.83673
2017-03-03,10.19395
2017-03-04,13.39049
2017-03-05,12.99973
2017-03-06,8.56485
2017-03-07,8.96992
2017-03-08,9.24511
2017-03-09,9.55552
2017-03-10,22.53874
2017-03-11,18.89859
2017-03-12,17.45112
2017-03-13,9.6799
2017-03-14,10.1224
2017-03-15,11.60619
2017-03-16,10.45812
2017-03-17,13.73833
2017-03-18,16.83251
2017-03-19,14.56608
2017-03-20,9.6821
2017-03-21,10.52637
2017-03-22,10.34805
2017-03-23,10.73661
2017-03-24,13.52478
2017-03-25,18.18752
2017-03-26,17.21887
2017-03-27,9.52029
2017-03-28,10.34695
2017-03-29,9.15044
2017-03-30,8.56815
2017-03-31,14.09937
2017-04-01,16.04878
2017-04-02,13.81648
2017-04-03,7.86918
2017-04-04,8.14217
2017-04-05,10.2699
2017-04-06,8.7806
2017-04-07,11.10646
2017-04-08,14.98987
2017-04-09,13.94967
2017-04-10,8.30067
2017-04-11,8.56815
2017-04-12,8.49881
2017-04-13,8.41735
2017-04-14,12.31177
2017-04-15,15.04821
2017-04-16,14.15661
2017-04-17,9.31556
2017-04-18,9.48617
2017-04-19,9.28253
2017-04-20,9.86813
2017-04-21,12.39763
2017-04-22,15.7747
2017-04-23,15.22873
2017-04-24,8.91379
2017-04-25,9.72283
2017-04-26,9.41242
2017-04-27,9.48507
2017-04-28,13.31564
2017-04-29,14.53636
2017-04-30,14.445
2017-05-01,10.54288
2017-05-02,11.7702
2017-05-03,12.63979
2017-05-04,11.84726
2017-05-05,14.96895
2017-05-06,14.76091
2017-05-07,13.0977
2017-05-08,12.0597
2017-05-09,19.2002
2017-05-10,8.9314
2017-05-11,8.83893
2017-05-12,12.8071
2017-05-13,16.46816
2017-05-14,15.72736
2017-05-15,10.04314
2017-05-16,9.6788
2017-05-17,9.25722
2017-05-18,9.62817
2017-05-19,12.70363
2017-05-20,16.59144
2017-05-21,14.91392
2017-05-22,8.87196
2017-05-23,10.60232
2017-05-24,8.99524
2017-05-25,10.48674
2017-05-26,15.16709
2017-05-27,17.20125
2017-05-28,16.05538
2017-05-29,9.42123
2017-05-30,12.2116
2017-05-31,9.64247
2017-06-01,10.2743
2017-06-02,12.40423
2017-06-03,15.31679
2017-06-04,13.87042
2017-06-05,12.74986
2017-06-06,14.83356
2017-06-07,8.06952
2017-06-08,8.18179
2017-06-09,10.96116
2017-06-10,13.35857
2017-06-11,11.98045
2017-06-12,7.91211
2017-06-13,8.32489
2017-06-14,7.747
2017-06-15,7.93413
2017-06-16,100
2017-06-17,24.24819
2017-06-18,18.68505
2017-06-19,10.91163
2017-06-20,11.54565
2017-06-21,11.04482
2017-06-22,10.20385
2017-06-23,12.53522
2017-06-24,16.15335
2017-06-25,14.68276
2017-06-26,10.26109
2017-06-27,10.7146
2017-06-28,9.26932
2017-06-29,9.5346
2017-06-30,12.69483
2017-07-01,15.0405
2017-07-02,14.70147
2017-07-03,9.46085
2017-07-04,9.81419
2017-07-05,9.74044
2017-07-06,10.39428
2017-07-07,15.636
2017-07-08,15.11425
2017-07-09,14.55618
